東京	とうきょう	[sound:pronunciation_ja_東京.mp3]	1	9.744.534	東京都	"<img src=""1_Tokio.png"">"	"<img src=""東京_zoomed.png"">"	"<img src=""japan pref.png"">"
横浜	よこはま	[sound:pronunciation_ja_横浜.mp3]	2	3.778.318	神奈川県	"<img src=""2_Yokohama.png"">"	"<img src=""横浜_zoomed.png"">"	"<img src=""japan pref.png"">"
大阪	おおさか	[sound:pronunciation_ja_大阪.mp3]	3	2.754.742	大阪府	"<img src=""3_Osaka.png"">"	"<img src=""大阪_zoomed.png"">"	"<img src=""japan pref.png"">"
名古屋	なごや	[sound:pronunciation_ja_名古屋.mp3]	4	2.333.406	愛知県	"<img src=""4_Nagoya.png"">"	"<img src=""名古屋_zoomed.png"">"	"<img src=""japan pref.png"">"
札幌	さっぽろ	[sound:pronunciation_ja_札幌.ogg]	5	1.975.065	北海道	"<img src=""5_Sapporo.png"">"	"<img src=""札幌_zoomed.png"">"	"<img src=""japan pref.png"">"
福岡	ふくおか	[sound:pronunciation_ja_福岡.ogg]	6	1.613.361	福岡県	"<img src=""6_Fukuoka.png"">"	"<img src=""福岡_zoomed.png"">"	"<img src=""japan pref.png"">"
川崎	かわさき	[sound:pronunciation_ja_川崎.ogg]	7	1.539.081	神奈川県	"<img src=""7_Kawasaki.png"">"	"<img src=""川崎_zoomed.png"">"	"<img src=""japan pref.png"">"
神戸	こうべ	[sound:pronunciation_ja_神戸.ogg]	8	1.527.022	兵庫県	"<img src=""8_Kobe.png"">"	"<img src=""神戸_zoomed.png"">"	"<img src=""japan pref.png"">"
京都	きょうと	[sound:pronunciation_ja_京都.ogg]	9	1.464.890	京都府	"<img src=""9_Kyoto.png"">"	"<img src=""京都_zoomed.png"">"	"<img src=""japan pref.png"">"
埼玉	さいたま	[sound:pronunciation_ja_埼玉.ogg]	10	1.324.591	埼玉県	"<img src=""10_Saitama.png"">"	"<img src=""埼玉_zoomed.png"">"	"<img src=""japan pref.png"">"
広島	ひろしま	[sound:pronunciation_ja_広島.mp3]	11	1.201.281	広島県	"<img src=""11_Hiroshima.png"">"	"<img src=""広島_zoomed.png"">"	"<img src=""japan pref.png"">"
仙台	せんだい	[sound:pronunciation_ja_仙台.ogg]	12	1.097.196	宮城県	"<img src=""12_Sendai.png"">"	"<img src=""仙台_zoomed.png"">"	"<img src=""japan pref.png"">"
千葉	ちば	[sound:pronunciation_ja_千葉.ogg]	13	975.210	千葉県	"<img src=""13_Chiba.png"">"	"<img src=""千葉_zoomed.png"">"	"<img src=""japan pref.png"">"
北九州	きたきゅうしゅう	[sound:pronunciation_ja_北九州.ogg]	14	939.622	福岡県	"<img src=""14_Kitakyushu.png"">"	"<img src=""北九州_zoomed.png"">"	"<img src=""japan pref.png"">"
堺	さかい	[sound:pronunciation_ja_堺.ogg]	15	826.447	大阪府	"<img src=""15_Sakai.png"">"	"<img src=""堺_zoomed.png"">"	"<img src=""japan pref.png"">"
浜松	はままつ	[sound:pronunciation_ja_浜松.ogg]	16	791.155	静岡県	"<img src=""16_Hamamatsu.png"">"	"<img src=""浜松_zoomed.png"">"	"<img src=""japan pref.png"">"
新潟	にいがた	[sound:pronunciation_ja_新潟.ogg]	17	789.715	新潟県	"<img src=""17_Niigata.png"">"	"<img src=""新潟_zoomed.png"">"	"<img src=""japan pref.png"">"
熊本	くまもと	[sound:pronunciation_ja_熊本.ogg]	18	738.744	熊本県	"<img src=""18_Kumamoto.png"">"	"<img src=""熊本_zoomed.png"">"	"<img src=""japan pref.png"">"
相模原	さがみはら	[sound:pronunciation_ja_相模原.ogg]	19	725.302	神奈川県	"<img src=""19_Sagamihara.png"">"	"<img src=""相模原_zoomed.png"">"	"<img src=""japan pref.png"">"
岡山	おかやま	[sound:pronunciation_ja_岡山.mp3]	20	725.108	岡山県	"<img src=""20_Okayama.png"">"	"<img src=""岡山_zoomed.png"">"	"<img src=""japan pref.png"">"
静岡	しずおか	[sound:pronunciation_ja_静岡.mp3]	21	693.759	静岡県	"<img src=""21_Shizuoka.png"">"	"<img src=""静岡_zoomed.png"">"	"<img src=""japan pref.png"">"
船橋	ふなばし	[sound:pronunciation_ja_船橋.ogg]	22	642.972	千葉県	"<img src=""22_Funabashi.png"">"	"<img src=""船橋_zoomed.png"">"	"<img src=""japan pref.png"">"
川口	かわぐち	[sound:pronunciation_ja_川口.mp3]	23	594.461	埼玉県	"<img src=""23_Kawaguchi.png"">"	"<img src=""川口_zoomed.png"">"	"<img src=""japan pref.png"">"
鹿児島	かごしま	[sound:pronunciation_ja_鹿児島.ogg]	24	593.460	鹿児島県	"<img src=""24_Kagoshima.png"">"	"<img src=""鹿児島_zoomed.png"">"	"<img src=""japan pref.png"">"
八王子	はちおうじ	[sound:pronunciation_ja_八王子.ogg]	25	579.605	東京都	"<img src=""25_Hachioji.png"">"	"<img src=""八王子_zoomed.png"">"	"<img src=""japan pref.png"">"
姫路	ひめじ	[sound:pronunciation_ja_姫路.ogg]	26	530.723	兵庫県	"<img src=""26_Himeji.png"">"	"<img src=""姫路_zoomed.png"">"	"<img src=""japan pref.png"">"
宇都宮	うつのみや	[sound:pronunciation_ja_宇都宮.ogg]	27	519.026	栃木県	"<img src=""27_Utsunomiya.png"">"	"<img src=""宇都宮_zoomed.png"">"	"<img src=""japan pref.png"">"
松山	まつやま	[sound:pronunciation_ja_松山.ogg]	28	511.569	愛媛県	"<img src=""28_Matsuyama.png"">"	"<img src=""松山_zoomed.png"">"	"<img src=""japan pref.png"">"
松戸	まつど	[sound:pronunciation_ja_松戸.mp3]	29	498.293	千葉県	"<img src=""29_Matsudo.png"">"	"<img src=""松戸_zoomed.png"">"	"<img src=""japan pref.png"">"
市川	いちかわ	[sound:pronunciation_ja_市川.ogg]	30	496.943	千葉県	"<img src=""30_Ichikawa.png"">"	"<img src=""市川_zoomed.png"">"	"<img src=""japan pref.png"">"
東大阪	ひがしおおさか	[sound:chrome_mMI5SWQ3Ma.mp3]	31	494.074	大阪府	"<img src=""31_Higashiosaka.png"">"	"<img src=""東大阪_zoomed.png"">"	"<img src=""japan pref.png"">"
西宮	にしのみや	[sound:pronunciation_ja_西宮.ogg]	32	485.705	兵庫県	"<img src=""32_Nishinomiya.png"">"	"<img src=""西宮_zoomed.png"">"	"<img src=""japan pref.png"">"
大分	おおいた	[sound:pronunciation_ja_大分.mp3]	33	475.852	大分県	"<img src=""33_Oita.png"">"	"<img src=""大分_zoomed.png"">"	"<img src=""japan pref.png"">"
倉敷	くらしき	[sound:pronunciation_ja_倉敷.ogg]	34	474.793	岡山県	"<img src=""34_Kurashiki.png"">"	"<img src=""倉敷_zoomed.png"">"	"<img src=""japan pref.png"">"
金沢	かなざわ	[sound:pronunciation_ja_金沢.mp3]	35	463.583	石川県	"<img src=""35_Kanazawa.png"">"	"<img src=""金沢_zoomed.png"">"	"<img src=""japan pref.png"">"
福山	ふくやま	[sound:oddcast-2976e04a-65618266-081995bc-0df8f763-04bc6243.mp3]	36	461.268	広島県	"<img src=""36_Fukuyama.png"">"	"<img src=""福山_zoomed.png"">"	"<img src=""japan pref.png"">"
尼崎	あまがさき	[sound:pronunciation_ja_尼崎.ogg]	37	459.717	兵庫県	"<img src=""37_Amagasaki.png"">"	"<img src=""尼崎_zoomed.png"">"	"<img src=""japan pref.png"">"
藤沢	ふじさわ	[sound:pronunciation_ja_藤沢.mp3]	38	437.155	神奈川県	"<img src=""38_Fujisawa.png"">"	"<img src=""藤沢_zoomed.png"">"	"<img src=""japan pref.png"">"
町田	まちだ	[sound:pronunciation_ja_町田.mp3]	39	431.525	東京都	"<img src=""39_Machida.png"">"	"<img src=""町田_zoomed.png"">"	"<img src=""japan pref.png"">"
柏	かしわ	[sound:pronunciation_ja_柏.ogg]	40	426.552	千葉県	"<img src=""40_Kashiwa.png"">"	"<img src=""柏_zoomed.png"">"	"<img src=""japan pref.png"">"
豊田	とよた	[sound:pronunciation_ja_豊田.ogg]	41	422.511	愛知県	"<img src=""41_Toyoda.png"">"	"<img src=""豊田_zoomed.png"">"	"<img src=""japan pref.png"">"
高松	たかまつ	[sound:pronunciation_ja_高松.mp3]	42	417.803	香川県	"<img src=""42_Takamatsu.png"">"	"<img src=""高松_zoomed.png"">"	"<img src=""japan pref.png"">"
富山	とやま	[sound:pronunciation_ja_富山.mp3]	43	414.171	富山県	"<img src=""43_Toyama.png"">"	"<img src=""富山_zoomed.png"">"	"<img src=""japan pref.png"">"
長崎	ながさき	[sound:pronunciation_ja_長崎.ogg]	44	409.305	長崎県	"<img src=""44_Nagasaki.png"">"	"<img src=""長崎_zoomed.png"">"	"<img src=""japan pref.png"">"
岐阜	ぎふ	[sound:pronunciation_ja_岐阜.mp3]	45	402.742	岐阜県	"<img src=""45_Gifu.png"">"	"<img src=""岐阜_zoomed.png"">"	"<img src=""japan pref.png"">"
豊中	とよなか	[sound:chrome_cWtp8nPoAV.mp3]	46	401.818	大阪府	"<img src=""46_Toyonaka.png"">"	"<img src=""豊中_zoomed.png"">"	"<img src=""japan pref.png"">"
宮崎	みやざき	[sound:pronunciation_ja_宮崎.ogg]	47	401.591	宮崎県	"<img src=""47_Miyazaki.png"">"	"<img src=""宮崎_zoomed.png"">"	"<img src=""japan pref.png"">"
枚方	ひらかた	[sound:pronunciation_ja_枚方.ogg]	48	397.596	大阪府	"<img src=""48_Hirakata.png"">"	"<img src=""枚方_zoomed.png"">"	"<img src=""japan pref.png"">"
横須賀	よこすか	[sound:pronunciation_ja_横須賀.mp3]	49	388.504	神奈川県	"<img src=""49_Yokosuka.png"">"	"<img src=""横須賀_zoomed.png"">"	"<img src=""japan pref.png"">"
吹田	すいた	[sound:pronunciation_ja_吹田.ogg]	50	385.787	大阪府	"<img src=""50_Suita.png"">"	"<img src=""吹田_zoomed.png"">"	"<img src=""japan pref.png"">"
岡崎	おかざき	[sound:pronunciation_ja_岡崎.mp3]	51	384.805	愛知県	"<img src=""51_Okazaki.png"">"	"<img src=""岡崎_zoomed.png"">"	"<img src=""japan pref.png"">"
一宮	いちのみや	[sound:pronunciation_ja_一宮.ogg]	52	379.981	愛知県	"<img src=""52_Ichinomiya.png"">"	"<img src=""一宮_zoomed.png"">"	"<img src=""japan pref.png"">"
長野	ながの	[sound:pronunciation_ja_長野.mp3]	53	373.251	長野県	"<img src=""53_Nagano.png"">"	"<img src=""長野_zoomed.png"">"	"<img src=""japan pref.png"">"
高崎	たかさき	[sound:pronunciation_ja_高崎.ogg]	54	373.218	群馬県	"<img src=""54_Takasaki.png"">"	"<img src=""高崎_zoomed.png"">"	"<img src=""japan pref.png"">"
豊橋	とよはし	[sound:pronunciation_ja_豊橋.mp3]	55	372.134	愛知県	"<img src=""55_Toyohashi.png"">"	"<img src=""豊橋_zoomed.png"">"	"<img src=""japan pref.png"">"
和歌山	わかやま	[sound:pronunciation_ja_和歌山.ogg]	56	356.858	和歌山県	"<img src=""56_Wakayama.png"">"	"<img src=""和歌山_zoomed.png"">"	"<img src=""japan pref.png"">"
